date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-01-22,PI,Acauã,city,126,1,True,7102,2200053,1774.14813,0.0079
2021-01-22,PI,Agricolândia,city,74,0,True,5131,2200103,1442.21399,0.0
2021-01-22,PI,Água Branca,city,1105,49,True,17470,2200202,6325.12879,0.0443
2021-01-22,PI,Alagoinha do Piauí,city,172,6,True,7665,2200251,2243.96608,0.0349
2021-01-22,PI,Alegrete do Piauí,city,353,4,True,4918,2200277,7177.71452,0.0113
2021-01-22,PI,Alto Longá,city,301,6,True,14339,2200301,2099.1701,0.0199
2021-01-22,PI,Altos,city,2341,33,True,40605,2200400,5765.29984,0.0141
2021-01-22,PI,Alvorada do Gurguéia,city,113,5,True,5445,2200459,2075.29844,0.0442
2021-01-22,PI,Amarante,city,830,16,True,17604,2200509,4714.83754,0.0193
2021-01-22,PI,Angical do Piauí,city,225,5,True,6783,2200608,3317.11632,0.0222
2021-01-22,PI,Anísio de Abreu,city,215,2,True,9938,2200707,2163.41316,0.0093
2021-01-22,PI,Antônio Almeida,city,259,4,True,3170,2200806,8170.347,0.0154
2021-01-22,PI,Aroazes,city,158,5,True,5827,2200905,2711.51536,0.0316
2021-01-22,PI,Aroeiras do Itaim,city,93,1,True,2551,2200954,3645.62917,0.0108
2021-01-22,PI,Arraial,city,93,1,True,4720,2201002,1970.33898,0.0108
2021-01-22,PI,Assunção do Piauí,city,182,4,True,7863,2201051,2314.63818,0.022
2021-01-22,PI,Avelino Lopes,city,186,15,True,11326,2201101,1642.2391,0.0806
2021-01-22,PI,Baixa Grande do Ribeiro,city,1581,15,True,11671,2201150,13546.39705,0.0095
2021-01-22,PI,Barra D'Alcântara,city,65,1,True,3952,2201176,1644.73684,0.0154
2021-01-22,PI,Barras,city,3265,61,True,47185,2201200,6919.5719,0.0187
2021-01-22,PI,Barreiras do Piauí,city,41,1,True,3352,2201309,1223.15036,0.0244
2021-01-22,PI,Barro Duro,city,467,7,True,7027,2201408,6645.79479,0.015
2021-01-22,PI,Batalha,city,502,12,True,26905,2201507,1865.8242,0.0239
2021-01-22,PI,Bela Vista do Piauí,city,199,4,True,4030,2201556,4937.96526,0.0201
2021-01-22,PI,Belém do Piauí,city,293,4,True,3587,2201572,8168.38584,0.0137
2021-01-22,PI,Beneditinos,city,413,15,True,10473,2201606,3943.47369,0.0363
2021-01-22,PI,Bertolínia,city,570,6,True,5507,2201705,10350.46305,0.0105
2021-01-22,PI,Betânia do Piauí,city,91,2,True,6210,2201739,1465.37842,0.022
2021-01-22,PI,Boa Hora,city,204,0,True,6815,2201770,2993.39692,0.0
2021-01-22,PI,Bocaina,city,182,3,True,4505,2201804,4039.9556,0.0165
2021-01-22,PI,Bom Jesus,city,2085,24,True,25387,2201903,8212.86485,0.0115
2021-01-22,PI,Bom Princípio do Piauí,city,44,3,True,5651,2201919,778.62325,0.0682
2021-01-22,PI,Bonfim do Piauí,city,158,2,True,5685,2201929,2779.24362,0.0127
2021-01-22,PI,Boqueirão do Piauí,city,273,2,True,6426,2201945,4248.36601,0.0073
2021-01-22,PI,Brasileira,city,281,5,True,8347,2201960,3366.47897,0.0178
2021-01-22,PI,Brejo do Piauí,city,39,3,True,3848,2201988,1013.51351,0.0769
2021-01-22,PI,Buriti dos Lopes,city,817,12,True,19807,2202000,4124.80436,0.0147
2021-01-22,PI,Buriti dos Montes,city,316,2,True,8264,2202026,3823.81413,0.0063
2021-01-22,PI,Cabeceiras do Piauí,city,271,7,True,10630,2202059,2549.38852,0.0258
2021-01-22,PI,Cajazeiras do Piauí,city,24,1,True,3573,2202075,671.70445,0.0417
2021-01-22,PI,Cajueiro da Praia,city,445,10,True,7674,2202083,5798.80115,0.0225
2021-01-22,PI,Caldeirão Grande do Piauí,city,178,1,True,5781,2202091,3079.05207,0.0056
2021-01-22,PI,Campinas do Piauí,city,92,1,True,5620,2202109,1637.01068,0.0109
2021-01-22,PI,Campo Alegre do Fidalgo,city,54,1,True,5069,2202117,1065.29888,0.0185
2021-01-22,PI,Campo Grande do Piauí,city,358,4,True,5965,2202133,6001.67645,0.0112
2021-01-22,PI,Campo Largo do Piauí,city,234,5,True,7311,2202174,3200.65654,0.0214
2021-01-22,PI,Campo Maior,city,2997,58,True,46893,2202208,6391.1458,0.0194
2021-01-22,PI,Canavieira,city,28,2,True,3944,2202251,709.93915,0.0714
2021-01-22,PI,Canto do Buriti,city,632,18,True,21258,2202307,2972.9984,0.0285
2021-01-22,PI,Capitão de Campos,city,286,3,True,11445,2202406,2498.90782,0.0105
2021-01-22,PI,Capitão Gervásio Oliveira,city,38,2,True,4114,2202455,923.67526,0.0526
2021-01-22,PI,Caracol,city,220,5,True,10964,2202505,2006.56695,0.0227
2021-01-22,PI,Caraúbas do Piauí,city,163,4,True,5890,2202539,2767.40238,0.0245
2021-01-22,PI,Caridade do Piauí,city,165,1,True,5085,2202554,3244.83776,0.0061
2021-01-22,PI,Castelo do Piauí,city,533,13,True,19715,2202604,2703.52523,0.0244
2021-01-22,PI,Caxingó,city,124,0,True,5451,2202653,2274.81196,0.0
2021-01-22,PI,Cocal,city,732,20,True,27845,2202703,2628.83821,0.0273
2021-01-22,PI,Cocal de Telha,city,168,4,True,4899,2202711,3429.27128,0.0238
2021-01-22,PI,Cocal dos Alves,city,225,4,True,6168,2202729,3647.85992,0.0178
2021-01-22,PI,Coivaras,city,144,3,True,4032,2202737,3571.42857,0.0208
2021-01-22,PI,Colônia do Gurguéia,city,83,2,True,6516,2202752,1273.7876,0.0241
2021-01-22,PI,Colônia do Piauí,city,148,1,True,7661,2202778,1931.86268,0.0068
2021-01-22,PI,Conceição do Canindé,city,64,2,True,4807,2202802,1331.39172,0.0312
2021-01-22,PI,Coronel José Dias,city,79,3,True,4685,2202851,1686.23266,0.038
2021-01-22,PI,Corrente,city,1101,11,True,26709,2202901,4122.206,0.01
2021-01-22,PI,Cristalândia do Piauí,city,35,1,True,8323,2203008,420.52145,0.0286
2021-01-22,PI,Cristino Castro,city,245,5,True,10444,2203107,2345.8445,0.0204
2021-01-22,PI,Curimatá,city,366,3,True,11426,2203206,3203.22072,0.0082
2021-01-22,PI,Currais,city,193,1,True,4968,2203230,3884.86312,0.0052
2021-01-22,PI,Curralinhos,city,200,0,True,4459,2203255,4485.31061,0.0
2021-01-22,PI,Curral Novo do Piauí,city,113,0,True,5367,2203271,2105.45929,0.0
2021-01-22,PI,Demerval Lobão,city,1571,6,True,13840,2203305,11351.15607,0.0038
2021-01-22,PI,Dirceu Arcoverde,city,180,4,True,7029,2203354,2560.81946,0.0222
2021-01-22,PI,Dom Expedito Lopes,city,145,5,True,6922,2203404,2094.7703,0.0345
2021-01-22,PI,Domingos Mourão,city,79,0,True,4354,2203420,1814.42352,0.0
2021-01-22,PI,Dom Inocêncio,city,124,4,True,9565,2203453,1296.3931,0.0323
2021-01-22,PI,Elesbão Veloso,city,578,19,True,14575,2203503,3965.69468,0.0329
2021-01-22,PI,Eliseu Martins,city,130,4,True,4930,2203602,2636.91684,0.0308
2021-01-22,PI,Esperantina,city,1191,33,True,39848,2203701,2988.85766,0.0277
2021-01-22,PI,Fartura do Piauí,city,157,3,True,5319,2203750,2951.68265,0.0191
2021-01-22,PI,Flores do Piauí,city,75,2,True,4462,2203800,1680.8606,0.0267
