date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-04-15,AC,,state,74664,1383,True,894470,12,8347.28946,0.0185
2021-04-15,AL,,state,163807,3898,True,3351543,27,4887.51002,0.0238
2021-04-15,AM,,state,361628,12337,True,4207714,13,8594.40542,0.0341
2021-04-15,AP,,state,102531,1446,True,861773,16,11897.68071,0.0141
2021-04-15,BA,,state,852458,17000,True,14930634,29,5709.45614,0.0199
2021-04-15,DF,,state,363344,7049,True,3055149,53,11892.84058,0.0194
2021-04-15,ES,,state,411584,8507,True,4064052,32,10127.42947,0.0207
2021-04-15,GO,,state,520713,13460,True,7113540,52,7320.02632,0.0258
2021-04-15,MA,,state,252848,6737,True,7114598,21,3553.93235,0.0266
2021-04-15,MG,,state,1257064,29105,True,21292666,31,5903.74169,0.0232
2021-04-15,MT,,state,338597,8937,True,3526220,51,9602.26532,0.0264
2021-04-15,PA,,state,448256,11635,True,8690745,15,5157.85471,0.026
2021-04-15,PB,,state,276669,6347,True,4039277,25,6849.46836,0.0229
2021-04-15,PE,,state,376983,13051,True,9616621,26,3920.11914,0.0346
2021-04-15,PI,,state,224790,4693,True,3281480,22,6850.26269,0.0209
2021-04-15,PR,Abatiá,city,462,7,True,7408,4100103,6236.50108,0.0152
2021-04-15,PR,Adrianópolis,city,1038,21,True,5857,4100202,17722.38347,0.0202
2021-04-15,PR,Agudos do Sul,city,427,8,True,9470,4100301,4508.97571,0.0187
2021-04-15,PR,Almirante Tamandaré,city,7409,264,True,120041,4100400,6172.05788,0.0356
2021-04-15,PR,Altamira do Paraná,city,100,3,True,1682,4100459,5945.30321,0.03
2021-04-15,PR,Altônia,city,826,14,True,22176,4100509,3724.74747,0.0169
2021-04-15,PR,Alto Paraíso,city,152,2,True,2685,4128625,5661.08007,0.0132
2021-04-15,PR,Alto Paraná,city,642,14,True,14859,4100608,4320.61377,0.0218
2021-04-15,PR,Alto Piquiri,city,458,11,True,9778,4100707,4683.98445,0.024
2021-04-15,PR,Alvorada do Sul,city,624,16,True,11503,4100806,5424.67182,0.0256
2021-04-15,PR,Amaporã,city,205,0,True,6332,4100905,3237.52369,0.0
2021-04-15,PR,Ampére,city,898,26,True,19311,4101002,4650.19937,0.029
2021-04-15,PR,Anahy,city,239,4,True,2788,4101051,8572.45337,0.0167
2021-04-15,PR,Andirá,city,1375,49,True,19926,4101101,6900.53197,0.0356
2021-04-15,PR,Ângulo,city,254,4,True,2930,4101150,8668.94198,0.0157
2021-04-15,PR,Antonina,city,1929,49,True,18949,4101200,10179.95673,0.0254
2021-04-15,PR,Antônio Olinto,city,270,6,True,7427,4101309,3635.38441,0.0222
2021-04-15,PR,Apucarana,city,5601,184,True,136234,4101408,4111.30848,0.0329
2021-04-15,PR,Arapongas,city,8945,342,True,124810,4101507,7166.89368,0.0382
2021-04-15,PR,Arapoti,city,2066,31,True,28300,4101606,7300.35336,0.015
2021-04-15,PR,Arapuã,city,166,5,True,3009,4101655,5516.78298,0.0301
2021-04-15,PR,Araruna,city,924,18,True,14000,4101705,6600.0,0.0195
2021-04-15,PR,Araucária,city,18387,272,True,146214,4101804,12575.40318,0.0148
2021-04-15,PR,Ariranha do Ivaí,city,128,2,True,2066,4101853,6195.54695,0.0156
2021-04-15,PR,Assaí,city,1063,32,True,14954,4101903,7108.46596,0.0301
2021-04-15,PR,Assis Chateaubriand,city,2891,62,True,33340,4102000,8671.26575,0.0214
2021-04-15,PR,Astorga,city,2244,47,True,26209,4102109,8561.94437,0.0209
2021-04-15,PR,Atalaia,city,315,15,True,3881,4102208,8116.46483,0.0476
2021-04-15,PR,Balsa Nova,city,1083,20,True,13092,4102307,8272.22731,0.0185
2021-04-15,PR,Bandeirantes,city,2471,68,True,31211,4102406,7917.08052,0.0275
2021-04-15,PR,Barbosa Ferraz,city,604,14,True,11426,4102505,5286.18939,0.0232
2021-04-15,PR,Barracão,city,894,24,True,10312,4102604,8669.51125,0.0268
2021-04-15,PR,Barra do Jacaré,city,146,1,True,2781,4102703,5249.9101,0.0068
2021-04-15,PR,Bela Vista da Caroba,city,155,4,True,3457,4102752,4483.65635,0.0258
2021-04-15,PR,Bela Vista do Paraíso,city,1522,47,True,15399,4102802,9883.75869,0.0309
2021-04-15,PR,Bituruna,city,512,8,True,16400,4102901,3121.95122,0.0156
2021-04-15,PR,Boa Esperança,city,239,6,True,4047,4103008,5905.60909,0.0251
2021-04-15,PR,Boa Esperança do Iguaçu,city,120,0,True,2470,4103024,4858.2996,0.0
2021-04-15,PR,Boa Ventura de São Roque,city,290,5,True,6365,4103040,4556.16654,0.0172
2021-04-15,PR,Boa Vista da Aparecida,city,558,17,True,7540,4103057,7400.5305,0.0305
2021-04-15,PR,Bocaiúva do Sul,city,978,8,True,13129,4103107,7449.15835,0.0082
2021-04-15,PR,Bom Jesus do Sul,city,221,3,True,3506,4103156,6303.47975,0.0136
2021-04-15,PR,Bom Sucesso,city,559,11,True,7068,4103206,7908.88512,0.0197
2021-04-15,PR,Bom Sucesso do Sul,city,268,5,True,3254,4103222,8236.01721,0.0187
2021-04-15,PR,Borrazópolis,city,476,13,True,6439,4103305,7392.45224,0.0273
2021-04-15,PR,Braganey,city,286,7,True,5382,4103354,5314.00966,0.0245
2021-04-15,PR,Brasilândia do Sul,city,299,7,True,2585,4103370,11566.73114,0.0234
2021-04-15,PR,Cafeara,city,213,6,True,2954,4103404,7210.56195,0.0282
2021-04-15,PR,Cafelândia,city,1299,9,True,18456,4103453,7038.36151,0.0069
2021-04-15,PR,Cafezal do Sul,city,196,2,True,4009,4103479,4888.99975,0.0102
2021-04-15,PR,Califórnia,city,715,14,True,8606,4103503,8308.1571,0.0196
2021-04-15,PR,Cambará,city,1730,28,True,25466,4103602,6793.37155,0.0162
2021-04-15,PR,Cambé,city,8521,159,True,107341,4103701,7938.25286,0.0187
2021-04-15,PR,Cambira,city,574,13,True,7917,4103800,7250.22104,0.0226
2021-04-15,PR,Campina da Lagoa,city,696,18,True,14043,4103909,4956.20594,0.0259
2021-04-15,PR,Campina do Simão,city,217,8,True,3859,4103958,5623.21845,0.0369
2021-04-15,PR,Campina Grande do Sul,city,3935,68,True,43685,4104006,9007.66854,0.0173
2021-04-15,PR,Campo Bonito,city,242,6,True,3763,4104055,6431.03906,0.0248
2021-04-15,PR,Campo do Tenente,city,341,10,True,8045,4104105,4238.65755,0.0293
2021-04-15,PR,Campo Largo,city,13528,288,True,133865,4104204,10105.70351,0.0213
2021-04-15,PR,Campo Magro,city,2434,57,True,29740,4104253,8184.26362,0.0234
2021-04-15,PR,Campo Mourão,city,7247,146,True,95488,4104303,7589.43532,0.0201
2021-04-15,PR,Cândido de Abreu,city,592,3,True,14809,4104402,3997.56905,0.0051
2021-04-15,PR,Candói,city,797,17,True,16053,4104428,4964.80409,0.0213
2021-04-15,PR,Cantagalo,city,888,17,True,13329,4104451,6662.1652,0.0191
2021-04-15,PR,Capanema,city,1754,21,True,19148,4104501,9160.22561,0.012
2021-04-15,PR,Capitão Leônidas Marques,city,1022,17,True,15834,4104600,6454.46508,0.0166
2021-04-15,PR,Carambeí,city,2385,44,True,23825,4104659,10010.49318,0.0184
2021-04-15,PR,Carlópolis,city,462,10,True,14356,4104709,3218.16662,0.0216
2021-04-15,PR,Cascavel,city,31758,615,True,332333,4104808,9556.07779,0.0194
2021-04-15,PR,Castro,city,6752,112,True,71809,4104907,9402.72111,0.0166
2021-04-15,PR,Catanduvas,city,625,14,True,10167,4105003,6147.33943,0.0224
2021-04-15,PR,Centenário do Sul,city,685,20,True,10764,4105102,6363.80528,0.0292
2021-04-15,PR,Cerro Azul,city,986,34,True,17833,4105201,5529.07531,0.0345
2021-04-15,PR,Céu Azul,city,743,14,True,11819,4105300,6286.48786,0.0188
2021-04-15,PR,Chopinzinho,city,1981,37,True,19167,4105409,10335.47243,0.0187
2021-04-15,PR,Cianorte,city,5683,102,True,83816,4105508,6780.32834,0.0179
2021-04-15,PR,Cidade Gaúcha,city,838,3,True,12797,4105607,6548.40978,0.0036
2021-04-15,PR,Clevelândia,city,1581,70,True,16450,4105706,9610.94225,0.0443
2021-04-15,PR,Colombo,city,15304,464,True,246540,4105805,6207.51197,0.0303
2021-04-15,PR,Colorado,city,1688,36,True,24145,4105904,6991.09546,0.0213
2021-04-15,PR,Congonhinhas,city,479,11,True,8857,4106001,5408.15174,0.023
2021-04-15,PR,Conselheiro Mairinck,city,349,8,True,3876,4106100,9004.12797,0.0229
2021-04-15,PR,Contenda,city,1401,20,True,18837,4106209,7437.49005,0.0143
2021-04-15,PR,Corbélia,city,1247,24,True,17117,4106308,7285.15511,0.0192
2021-04-15,PR,Cornélio Procópio,city,4094,89,True,47842,4106407,8557.33456,0.0217
2021-04-15,PR,Coronel Domingos Soares,city,892,6,True,7518,4106456,11864.85767,0.0067
2021-04-15,PR,Coronel Vivida,city,2457,61,True,20580,4106506,11938.77551,0.0248
2021-04-15,PR,Corumbataí do Sul,city,223,6,True,3127,4106555,7131.43588,0.0269
2021-04-15,PR,Cruzeiro do Iguaçu,city,266,7,True,4240,4106571,6273.58491,0.0263
2021-04-15,PR,Cruzeiro do Oeste,city,1701,41,True,20947,4106605,8120.49458,0.0241
2021-04-15,PR,Cruzeiro do Sul,city,259,12,True,4449,4106704,5821.53293,0.0463
2021-04-15,PR,Cruz Machado,city,606,12,True,18741,4106803,3233.55211,0.0198
2021-04-15,PR,Cruzmaltina,city,179,5,True,2921,4106852,6128.03834,0.0279
2021-04-15,PR,Curitiba,city,142829,3937,True,1948626,4106902,7329.72874,0.0276
2021-04-15,PR,Curiúva,city,923,15,True,15196,4107009,6073.96683,0.0163
2021-04-15,PR,Diamante D'Oeste,city,333,6,True,5266,4107157,6323.58526,0.018
2021-04-15,PR,Diamante do Norte,city,188,8,True,5030,4107108,3737.57455,0.0426
2021-04-15,PR,Diamante do Sul,city,297,8,True,3424,4107124,8674.06542,0.0269
2021-04-15,PR,Dois Vizinhos,city,5038,60,True,41038,4107207,12276.42673,0.0119
2021-04-15,PR,Douradina,city,504,5,True,8869,4107256,5682.71507,0.0099
